,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,301.14,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Hilo,US,297.94,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,Arraial Do Cabo,BR,296.22,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
8,Rikitea,PF,297.0,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Avarua,CK,298.18,broken clouds,-21.2078,-159.775,Paradise Inn
12,Padang,ID,297.18,moderate rain,-0.9492,100.3543,Mercure Padang
13,Cayenne,GF,300.17,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
16,Omboue,GA,297.3,overcast clouds,-1.5746,9.2618,Hotel Olako
18,Puerto Ayora,EC,294.57,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Vaini,TO,300.24,scattered clouds,-21.2,-175.2,Keleti Beach Resort
25,Mexico,PH,301.99,overcast clouds,15.0646,120.7198,stone place
30,Rawson,AR,294.93,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
34,Faanui,PF,298.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Linhares,BR,297.33,overcast clouds,-19.3911,-40.0722,Hotel Conceição
48,Carnarvon,AU,300.63,clear sky,-24.8667,113.6333,Hospitality Carnarvon
53,Tete,MZ,297.42,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
57,Butaritari,KI,300.02,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
58,Mataura,NZ,296.09,overcast clouds,-46.1927,168.8643,Ellie's Villa
59,Quatre Cocos,MU,295.21,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
64,Georgetown,MY,298.12,moderate rain,5.4112,100.3354,Cititel Penang
68,Conde,BR,297.85,few clouds,-7.2597,-34.9075,Pousada Beija Flor
71,Catacamas,HN,294.99,broken clouds,14.8,-85.9,Villa Genesis
79,Praya,CV,297.45,few clouds,14.9215,-23.5087,LT Aparthotel
81,Jaciara,BR,294.68,light rain,-15.9653,-54.9683,Taba Hotel
85,Ilebo,CD,294.33,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
86,Atuona,PF,298.58,clear sky,-9.8,-139.0333,Villa Enata
87,Carangola,BR,294.79,heavy intensity rain,-20.7331,-42.0294,Hotel Fazenda Búfalos
90,Manta,EC,295.03,clear sky,-0.95,-80.7333,Balandra Hotel
99,Mahebourg,MU,295.31,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Nossa Senhora Da Gloria,BR,296.17,clear sky,-10.2183,-37.4203,Augustu's Hotel
108,Port Blair,IN,300.44,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Souillac,MU,295.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
116,Nioro,GM,298.18,overcast clouds,13.35,-15.75,
118,San Pedro,PH,301.12,light rain,14.35,121.0167,Palines Apartment and Guesthouse
124,Fare,PF,299.05,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
128,Bengkulu,ID,297.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
130,Vallenar,CL,296.81,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
132,Airai,TL,296.79,scattered clouds,-8.9266,125.4092,
133,Cabo San Lucas,MX,298.18,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
135,Tucuman,AR,294.15,clear sky,-26.8241,-65.2226,Hotel Premier
140,Eyl,SO,297.74,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
141,Hithadhoo,MV,300.71,broken clouds,-0.6,73.0833,Scoop Guest House
142,Sur,OM,298.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
143,Chavakkad,IN,297.18,overcast clouds,10.5333,76.05,Rajah Island
144,Alice Springs,AU,296.9,clear sky,-23.7,133.8833,Desert Palms Alice Springs
146,Bathsheba,BB,300.49,few clouds,13.2167,-59.5167,Atlantis Hotel
150,Vila Velha,BR,298.12,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
152,Diapaga,BF,296.3,overcast clouds,12.0708,1.7889,Hôtel GACILIE
153,Keti Bandar,PK,297.97,clear sky,24.1447,67.4497,Haji laloo memon house
155,Imbituba,BR,294.76,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
156,Iracoubo,GF,299.46,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
161,Bowen,AU,300.55,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
162,Santiago,CL,297.2,clear sky,-33.4569,-70.6483,Hotel Panamericano
165,Touros,BR,299.23,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
166,Coahuayana,MX,297.16,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
169,Adrar,MR,298.17,overcast clouds,20.5022,-10.0711,
177,Sao Jose Da Coroa Grande,BR,297.93,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
178,Ballina,AU,301.49,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
185,Geraldton,AU,301.38,clear sky,-28.7667,114.6,Broadwater Mariner Resort
186,Neiafu,TO,300.53,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
189,Nacala,MZ,296.11,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
190,Upata,VE,297.15,few clouds,8.0086,-62.3989,Posada Villa Nela
201,Maua,BR,298.35,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
202,Tautira,PF,299.19,light rain,-17.7333,-149.15,Pension Oaoa
205,Parana,AR,294.01,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
206,Pontes E Lacerda,BR,295.31,overcast clouds,-15.2261,-59.3353,Hotel Bressan
209,Kloulklubed,PW,298.43,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
212,Guarapari,BR,298.09,light rain,-20.6667,-40.4975,Hotel Porto do Sol
213,Araouane,ML,299.52,overcast clouds,18.9048,-3.5265,
214,Flinders,AU,294.92,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
216,Grand-Santi,GF,296.67,clear sky,4.25,-54.3833,Hotel La Villa Couacou
217,Sao Joao Da Barra,BR,297.02,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
218,Ambunti,PG,300.77,moderate rain,-4.2365,142.8448,AMBUNTI HIDE INN
223,Los Llanos De Aridane,ES,295.44,clear sky,28.6585,-17.9182,Valle Aridane
225,Port-Gentil,GA,298.92,moderate rain,-0.7193,8.7815,Fengshui Residence
228,Katherine,AU,301.33,broken clouds,-14.4667,132.2667,Pine Tree Motel
229,Carutapera,BR,299.58,clear sky,-1.195,-46.02,Lidera
232,Ahuimanu,US,301.99,few clouds,21.4447,-157.8378,Paradise Bay Resort
236,Manokwari,ID,301.83,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
239,Sinnamary,GF,299.09,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
243,Kathu,TH,299.05,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
245,Kintampo,GH,298.05,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
246,Monteiro,BR,296.74,few clouds,-7.8894,-37.12,Pousada Seu Tião
247,Dingle,PH,301.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
248,Save,BJ,296.53,scattered clouds,8.0425,2.4859999999999998,Le Cercle du Rail
250,Victoria,HK,299.18,overcast clouds,22.2855,114.1577,Mini Central
251,Matara,LK,296.34,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
253,Bambous Virieux,MU,295.29,broken clouds,-20.3428,57.7575,Casa Tia Villa
256,Kirakira,SB,301.73,scattered clouds,-10.4544,161.9205,SanBiz Lodge
257,Harper,LR,297.97,light rain,4.375,-7.7169,Screensaver
258,Ratnagiri,IN,297.48,overcast clouds,16.9833,73.3,Hotel Landmark
259,Alcudia,ES,294.12,overcast clouds,39.8532,3.1214,Zafiro Tropic
260,Loiza,PR,299.71,scattered clouds,18.4313,-65.8802,Vacation Realty
262,Vanimo,PG,298.53,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
264,South Daytona,US,296.49,scattered clouds,29.1658,-81.0045,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
266,Oistins,BB,300.2,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
273,San Rafael,AR,294.53,clear sky,-34.6177,-68.3301,Hotel San Rafael
274,Tsaratanana,MG,295.82,clear sky,-16.7833,47.65,
281,Alofi,NU,298.28,moderate rain,-19.0595,-169.9187,Taloa Heights
286,Nouadhibou,MR,294.47,clear sky,20.930999999999997,-17.0347,El Medina
291,Panaba,MX,298.64,clear sky,21.2833,-88.2667,Hotel Don Fernando
292,Banda Aceh,ID,299.18,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
304,Thinadhoo,MV,300.62,overcast clouds,0.5333,72.9333,
306,Bandarbeyla,SO,298.32,clear sky,9.4942,50.8122,JABIR HOTEL
307,Atar,MR,301.7,overcast clouds,20.5169,-13.0499,Oumou Elghoura
309,Morondava,MG,298.03,scattered clouds,-20.2833,44.2833,La Case Bambou
316,Salalah,OM,296.2,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
319,Bousso,TD,298.26,broken clouds,10.4795,16.7117,
320,Contamana,PE,300.9,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
327,Nishihara,JP,295.75,overcast clouds,26.1842,127.7558,Minshuku Agaihama
330,Cape Canaveral,US,298.19,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
336,Plettenberg Bay,ZA,294.16,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
338,Matata,NZ,294.18,overcast clouds,-37.8833,176.75,Matata B&B
340,San Cristobal,VE,295.25,broken clouds,7.7669,-72.225,Pirineos
341,Ouesso,CG,294.53,light rain,1.6136,16.0517,ABENIE Hotel
347,Waipawa,NZ,294.28,clear sky,-41.4122,175.5153,Tora Coastal Walk
351,Sikasso,ML,297.45,broken clouds,10.9167,-7.0,
355,Marsh Harbour,BS,299.09,clear sky,26.5412,-77.0636,Abaco Beach Resort
357,Kapit,MY,297.86,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
360,Benguela,AO,295.13,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
362,Inhambane,MZ,294.87,scattered clouds,-23.865,35.3833,Oceano
364,Bull Savanna,JM,297.84,clear sky,17.8868,-77.5902,Big Red's
365,Teguise,ES,296.27,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
368,Vao,NC,296.85,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
370,Camopi,GF,296.19,scattered clouds,3.1655,-52.3158,La pousada
371,Arcelia,MX,297.4,overcast clouds,18.2833,-100.2667,C. GENERAL NAVOR MENDOZA
375,San Juan,AR,297.34,clear sky,-31.5375,-68.5364,Hotel Provincial
379,Itarema,BR,299.55,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
380,Puerto Maldonado,PE,297.67,overcast clouds,-12.6,-69.1833,Wasai Hotel
381,Takoradi,GH,299.03,broken clouds,4.8845,-1.7554,Raybow International Hotel
382,Lam Luk Ka,TH,301.49,few clouds,13.9323,100.7494,Thanaplace Lamlukka Klong7
384,Puerto Escondido,MX,301.61,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
388,Qeshm,IR,299.02,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
391,Dovers,VC,300.12,clear sky,12.8833,-61.1833,Ocean Breeze
392,Tual,ID,301.94,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
395,Hirara,JP,296.62,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
397,Placido De Castro,BR,296.69,overcast clouds,-10.3353,-67.1856,Hotel Carioca
403,Sao Filipe,CV,297.28,overcast clouds,14.8961,-24.4956,Hotel Xaguate
405,Sumenep,ID,301.92,overcast clouds,-7.0167,113.8667,Family Nur Hotel
408,Progreso,MX,299.88,clear sky,21.2833,-89.6667,Playa Linda Hotel
420,Mbini,GQ,298.56,light rain,1.574,9.6134,Candy Vista Mar Mbini
422,Mogadishu,SO,299.16,few clouds,2.0371,45.3438,Hotel Juba
431,Qandala,SO,297.18,scattered clouds,11.472000000000001,49.8728,
432,Soyo,AO,297.8,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
439,Gurupi,BR,295.32,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
445,San,ML,299.53,broken clouds,13.3034,-4.8956,Hôtel Teriya
453,Itaberaba,BR,297.67,broken clouds,-12.5275,-40.3069,Araújo Hotel
454,Natal,BR,298.51,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
455,Inirida,CO,298.71,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
456,Yulara,AU,297.33,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
457,Angoche,MZ,297.25,overcast clouds,-16.2325,39.9086,Guest House HESADA
460,Puerto Cabezas,NI,298.57,overcast clouds,14.0351,-83.3888,Cabaña Caribe
466,Kulhudhuffushi,MV,300.47,heavy intensity rain,6.6221,73.07,Haajy Guest House 1
468,Itoman,JP,296.36,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
475,Uvira,CD,295.79,light rain,-3.4067,29.1458,Hotel Suzana
476,Clearwater,US,295.42,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
479,Mahajanga,MG,296.16,thunderstorm,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
480,Ishigaki,JP,299.22,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
489,Banes,CU,298.9,clear sky,20.9625,-75.7186,Hostal Iván y yailet
491,Ilhabela,BR,296.72,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
494,Sibolga,ID,296.93,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
499,Bolobo,CD,294.39,light rain,-2.1667,16.2333,Hotel de Stephen
503,Champerico,GT,300.13,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
507,Damaturu,NG,294.21,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
509,Madarounfa,NE,294.03,overcast clouds,13.3087,7.156000000000001,Madarounfa centre ville
511,Acapulco,MX,301.05,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
515,Basco,PH,299.77,clear sky,20.4487,121.9702,Nathaniel's Lodge
523,Boa Vista,BR,301.14,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
526,Miandrivazo,MG,297.92,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
532,Acajutla,SV,299.5,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
534,La Asuncion,VE,299.69,light rain,11.0333,-63.8628,Colinas de Matasiete
544,Pereira Barreto,BR,296.42,overcast clouds,-20.6383,-51.1092,Hotel Pousada Pantal
548,Phitsanulok,TH,297.86,overcast clouds,16.9167,100.5,
549,Santa Fe,AR,294.27,light rain,-31.6333,-60.7,Conquistador Hotel
552,Axim,GH,298.37,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
555,Lazaro Cardenas,MX,298.82,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
557,Saint-Pierre,RE,294.77,clear sky,-21.3393,55.4781,Alize Plage
558,Cabedelo,BR,298.52,few clouds,-6.9811,-34.8339,Pousada Camboinha
559,Owando,CG,294.38,light rain,-0.4819,15.8999,Exaunel Hotel Owando
565,Meulaboh,ID,296.94,overcast clouds,4.1363,96.1285,Kost Pria
570,Padre Paraiso,BR,294.03,overcast clouds,-17.0742,-41.4844,Pousada Três Irmãos
571,Mejicanos,SV,296.51,broken clouds,13.7403,-89.2131,Ximena´s Guest House
573,Pemangkat,ID,299.86,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
574,Jiwani,PK,298.93,clear sky,25.05,61.7417,Hooth Market
579,Calabar,NG,296.78,broken clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
586,Maracai,BR,295.16,few clouds,-22.6106,-50.6672,Hotel Maracai Pousada
605,Wewak,PG,297.75,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
606,Kisanga,TZ,295.23,overcast clouds,-7.4362,37.7034,
610,Ogbomosho,NG,294.51,scattered clouds,8.133,4.25,Living Soul Garden Hotel
613,Kibala,TD,296.95,clear sky,9.1104,18.3463,Prasant Hotels
614,Cururupu,BR,298.86,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
619,Bonthe,SL,298.47,moderate rain,7.5264,-12.505,Bonthe Holiday Village
621,Boyolangu,ID,299.45,overcast clouds,-8.1181,111.8935,Yos ega cv
626,Maragogi,BR,297.73,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
627,Matamoros,MX,299.21,clear sky,25.5333,-103.25,Quinta Belem
630,Belmonte,BR,297.88,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
632,Payo,ID,298.31,overcast clouds,-3.7508,103.6372,Mess keban agung
638,Cikupa,ID,301.68,overcast clouds,-6.2364,106.5083,Amaris Hotel Citra Raya Tangerang
640,Gombong,ID,300.85,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
645,Entre Rios,BR,295.69,scattered clouds,-11.9419,-38.0844,Pousada Porteira
648,Shakawe,BW,294.91,moderate rain,-18.3667,21.85,EdenWood Lodge
661,Christchurch,NZ,295.05,few clouds,-43.5333,172.6333,The George
663,Moron,AR,294.01,clear sky,-34.6534,-58.6198,Hotel Morón
670,Leopoldina,BR,295.36,moderate rain,-21.5319,-42.6431,Palace Hotel
675,Torit,SS,294.92,overcast clouds,4.4133,32.5678,Diplomat Guest House
676,Taretan,MX,297.21,scattered clouds,19.3333,-101.9167,Hotel Posada Jardín
678,Yenagoa,NG,297.41,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
679,Dapaong,TG,297.31,clear sky,10.8639,0.205,Hotel Caroli
681,Morros,BR,297.07,few clouds,-9.4467,-46.3003,
685,Mount Isa,AU,301.02,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
689,Angoram,PG,298.03,moderate rain,-4.0625,144.0661,
695,Grand Gaube,MU,295.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
700,Whithorn,JM,298.74,clear sky,18.2604,-78.0378,Sunset Heal
