,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Da Lat,VN,11.9465,108.4419,292.97,77,99,1.76,overcast clouds
1,Lorengau,PG,-2.0226,147.2712,302.14,71,94,1.31,overcast clouds
2,Sargodha,PK,32.0836,72.6711,286.84,66,0,2.38,clear sky
3,Bredasdorp,ZA,-34.5322,20.0403,289.04,66,100,3.3,overcast clouds
4,Kapaa,US,22.0752,-159.319,301.14,72,40,6.69,scattered clouds
5,Hilo,US,19.7297,-155.09,297.94,88,100,3.6,moderate rain
6,Port Elizabeth,ZA,-33.918,25.5701,289.87,83,38,5.11,scattered clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,296.22,94,100,11.67,moderate rain
8,Rikitea,PF,-23.1203,-134.9692,297.0,81,100,6.43,overcast clouds
9,Avarua,CK,-21.2078,-159.775,298.18,61,60,6.17,broken clouds
10,Albany,US,42.6001,-73.9662,274.06,64,10,1.79,clear sky
11,Barranca,PE,-10.75,-77.7667,290.64,83,9,3.33,clear sky
12,Padang,ID,-0.9492,100.3543,297.18,89,100,1.38,moderate rain
13,Cayenne,GF,4.9333,-52.3333,300.17,83,20,2.57,few clouds
14,Esperance,AU,-33.8667,121.9,289.06,62,97,5.4,overcast clouds
15,Novikovo,RU,51.1537,37.8879,271.19,72,9,2.09,clear sky
16,Omboue,GA,-1.5746,9.2618,297.3,92,100,3.04,overcast clouds
17,Namibe,AO,-15.1961,12.1522,291.3,81,100,2.71,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,294.57,84,86,2.24,overcast clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,288.2,97,100,8.05,overcast clouds
20,Samarai,PG,-10.6167,150.6667,302.45,73,100,4.7,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,284.94,81,0,1.03,clear sky
22,Chuy,UY,-33.6971,-53.4616,290.01,95,100,4.93,overcast clouds
23,Vaini,TO,-21.2,-175.2,300.24,78,40,3.09,scattered clouds
24,Campana,AR,-34.1687,-58.9591,292.1,66,1,2.71,clear sky
25,Mexico,PH,15.0646,120.7198,301.99,68,92,3.1,overcast clouds
26,Ancud,CL,-41.8697,-73.8203,285.48,97,100,6.08,light rain
27,Hasaki,JP,35.7333,140.8333,286.05,85,100,7.24,light rain
28,Kaitangata,NZ,-46.2817,169.8464,293.31,56,79,3.17,broken clouds
29,Jamestown,US,42.097,-79.2353,274.92,91,100,0.45,overcast clouds
30,Rawson,AR,-43.3002,-65.1023,294.93,39,88,4.51,overcast clouds
31,Surgana,IN,20.5667,73.6167,291.7,56,7,2.61,clear sky
32,Upernavik,GL,72.7868,-56.1549,268.46,84,100,7.44,overcast clouds
33,Thompson,CA,55.7435,-97.8558,257.9,99,70,1.58,broken clouds
34,Faanui,PF,-16.4833,-151.75,298.96,79,100,2.71,light rain
35,Komsomolets,KZ,53.7453,62.0708,266.74,92,100,6.89,overcast clouds
36,Kavieng,PG,-2.5744,150.7967,302.85,68,72,4.35,broken clouds
37,Ribeira Grande,PT,38.5167,-28.7,290.25,85,14,4.92,few clouds
38,Bluff,NZ,-46.6,168.3333,290.74,57,100,4.35,overcast clouds
39,Ilulissat,GL,69.2167,-51.1,271.16,93,100,8.23,light snow
40,Norman Wells,CA,65.282,-126.8329,270.16,93,99,3.98,overcast clouds
41,Barrow,US,71.2906,-156.7887,259.96,97,88,6.67,overcast clouds
42,Kungsbacka,SE,57.4872,12.0761,281.66,90,100,3.13,overcast clouds
43,Ocampo,MX,21.65,-101.5,287.55,38,91,4.28,overcast clouds
44,Linhares,BR,-19.3911,-40.0722,297.33,87,100,3.1,overcast clouds
45,Aklavik,CA,68.2191,-135.0107,264.41,91,100,9.49,light snow
46,Pangnirtung,CA,66.1451,-65.7125,258.1,94,100,1.31,overcast clouds
47,Longyearbyen,SJ,78.2186,15.6401,270.06,74,40,9.77,scattered clouds
48,Carnarvon,AU,-24.8667,113.6333,300.63,34,0,5.28,clear sky
49,Hami,CN,42.8,93.45,274.51,45,100,1.08,overcast clouds
50,Castro,BR,-24.7911,-50.0119,290.41,94,92,2.57,overcast clouds
51,Kyshtovka,RU,56.555,76.6271,274.05,99,100,4.74,light snow
52,Dikson,RU,73.5069,80.5464,257.01,96,100,9.33,light snow
53,Tete,MZ,-16.1564,33.5867,297.42,77,100,3.09,overcast clouds
54,Whitecourt,CA,54.1502,-115.6855,268.84,97,49,1.04,scattered clouds
55,Chalchihuites,MX,23.4833,-103.8833,284.64,29,13,3.33,few clouds
56,Anchorage,US,61.2181,-149.9003,277.18,80,75,2.57,broken clouds
57,Butaritari,KI,3.0707,172.7902,300.02,81,36,4.52,scattered clouds
58,Mataura,NZ,-46.1927,168.8643,296.09,37,97,2.33,overcast clouds
59,Quatre Cocos,MU,-20.2078,57.7625,295.21,60,74,7.05,broken clouds
60,Bilma,NE,18.6853,12.9164,292.08,25,2,4.02,clear sky
61,Oda,JP,35.1833,132.5,286.12,70,100,3.9,overcast clouds
62,Bilibino,RU,68.0546,166.4372,246.55,100,100,1.31,overcast clouds
63,Klaksvik,FO,62.2266,-6.589,282.66,88,100,15.2,light rain
64,Georgetown,MY,5.4112,100.3354,298.12,99,40,1.54,moderate rain
65,Portland,US,45.5234,-122.6762,282.88,60,0,8.94,clear sky
66,Port Alfred,ZA,-33.5906,26.891,291.03,85,63,0.89,broken clouds
67,Hobart,AU,-42.8794,147.3294,282.07,91,100,11.83,light rain
68,Conde,BR,-7.2597,-34.9075,297.85,88,20,2.06,few clouds
69,Faya,SA,18.3851,42.4509,286.44,79,1,0.75,clear sky
70,Ceres,US,37.5949,-120.9577,287.58,54,0,0.0,clear sky
71,Catacamas,HN,14.8,-85.9,294.99,95,83,1.49,broken clouds
72,Punta Arenas,CL,-53.15,-70.9167,284.21,82,75,5.66,broken clouds
73,Saint-Joseph,RE,-21.3667,55.6167,293.36,63,20,6.23,few clouds
74,Margate,GB,51.3813,1.3862,284.09,83,100,0.89,overcast clouds
75,Tasiilaq,GL,65.6145,-37.6368,274.24,95,100,2.55,overcast clouds
76,Leningradskiy,RU,69.3833,178.4167,252.94,96,66,1.88,broken clouds
77,Ahipara,NZ,-35.1667,173.1667,291.12,85,100,4.87,overcast clouds
78,Mareeba,AU,-17.0,145.4333,306.17,45,65,1.19,broken clouds
79,Praya,CV,14.9215,-23.5087,297.45,73,20,5.66,few clouds
80,New Norfolk,AU,-42.7826,147.0587,281.87,83,100,0.89,overcast clouds
81,Jaciara,BR,-15.9653,-54.9683,294.68,97,100,1.23,light rain
82,Shihezi,CN,44.3,86.0333,273.67,57,14,0.67,few clouds
83,Saint-Philippe,RE,-21.3585,55.7679,293.92,63,39,5.76,scattered clouds
84,Muros,ES,42.7762,-9.0603,289.08,94,100,12.33,light rain
85,Ilebo,CD,-4.3167,20.5833,294.33,99,100,0.37,overcast clouds
86,Atuona,PF,-9.8,-139.0333,298.58,76,6,6.82,clear sky
87,Carangola,BR,-20.7331,-42.0294,294.79,97,100,1.71,heavy intensity rain
88,Qaanaaq,GL,77.484,-69.3632,254.05,78,34,2.51,scattered clouds
89,Srikakulam,IN,18.3,83.9,292.28,81,0,2.84,clear sky
90,Manta,EC,-0.95,-80.7333,295.03,78,0,4.63,clear sky
91,Busselton,AU,-33.65,115.3333,291.26,49,0,4.15,clear sky
92,Broome,US,42.2506,-75.833,273.81,72,100,2.06,overcast clouds
93,Jalu,LY,29.0331,21.5482,288.76,40,0,3.2,clear sky
94,Ginir,ET,7.1333,40.7,285.12,41,0,2.2,clear sky
95,Invercargill,NZ,-46.4,168.35,292.62,48,100,3.0,light rain
96,Buala,SB,-8.145,159.5921,302.8,63,44,1.98,scattered clouds
97,East London,ZA,-33.0153,27.9116,291.71,77,100,9.17,overcast clouds
98,Yellowknife,CA,62.456,-114.3525,269.44,100,100,6.71,light snow
99,Mahebourg,MU,-20.4081,57.7,295.31,60,75,3.6,broken clouds
100,Katangli,RU,51.7102,143.2326,268.21,75,13,3.12,few clouds
101,Nossa Senhora Da Gloria,BR,-10.2183,-37.4203,296.17,86,3,4.89,clear sky
102,Cape Town,ZA,-33.9258,18.4232,289.88,74,0,0.45,clear sky
103,Pevek,RU,69.7008,170.3133,250.1,100,100,1.38,overcast clouds
104,Nizhniy Tsasuchey,RU,50.5167,115.1333,266.52,71,50,2.88,scattered clouds
105,Ngunguru,NZ,-35.6167,174.5,289.88,95,100,6.83,overcast clouds
106,Furukawa,JP,38.5717,140.9556,284.33,56,8,0.6,clear sky
107,Vostok,RU,46.4856,135.8833,268.18,61,14,1.09,few clouds
108,Port Blair,IN,11.6667,92.75,300.44,81,97,3.86,overcast clouds
109,Ust-Nera,RU,64.5667,143.2,248.1,98,100,2.8,light snow
110,Asfi,MA,32.2994,-9.2372,292.71,65,100,2.49,overcast clouds
111,Berkakit,RU,56.5807,124.7681,255.21,96,100,1.24,overcast clouds
112,West Helena,US,34.5507,-90.6418,282.01,48,100,2.44,overcast clouds
113,Souillac,MU,-20.5167,57.5167,295.36,60,75,3.6,broken clouds
114,Hermanus,ZA,-34.4187,19.2345,285.82,78,1,4.79,clear sky
115,Mezen,RU,65.8522,44.24,267.09,92,100,0.7,overcast clouds
116,Nioro,GM,13.35,-15.75,298.18,66,100,2.72,overcast clouds
117,Pisco,PE,-13.7,-76.2167,292.18,77,100,3.09,overcast clouds
118,San Pedro,PH,14.35,121.0167,301.12,85,100,4.75,light rain
119,Yar-Sale,RU,66.8333,70.8333,252.65,92,84,3.54,broken clouds
120,Bethel,US,41.3712,-73.414,276.45,64,0,1.79,clear sky
121,Lavrentiya,RU,65.5833,-171.0,267.3,85,13,3.31,few clouds
122,Mwense,ZM,-10.3845,28.698,291.91,98,100,1.28,moderate rain
123,Saskylakh,RU,71.9167,114.0833,244.92,95,92,2.7,overcast clouds
124,Fare,PF,-16.7,-151.0167,299.05,77,97,1.8,overcast clouds
125,Along,IN,28.1667,94.7667,287.53,67,70,0.57,broken clouds
126,Khani,GE,41.9563,42.9566,278.91,95,99,1.11,overcast clouds
127,Ostrovnoy,RU,68.0531,39.5131,271.4,89,93,1.75,overcast clouds
128,Bengkulu,ID,-3.8004,102.2655,297.95,86,98,2.88,overcast clouds
129,Lishu,CN,43.3047,124.3278,274.34,68,1,1.69,clear sky
130,Vallenar,CL,-28.5708,-70.7581,296.81,26,40,2.1,scattered clouds
131,San Patricio,US,28.017,-97.5169,292.07,89,44,5.28,scattered clouds
132,Airai,TL,-8.9266,125.4092,296.79,57,27,0.83,scattered clouds
133,Cabo San Lucas,MX,22.8909,-109.9124,298.18,68,0,5.66,clear sky
134,Chokurdakh,RU,70.6333,147.9167,246.67,99,100,4.82,overcast clouds
135,Tucuman,AR,-26.8241,-65.2226,294.15,73,0,1.03,clear sky
136,Irtyshskiy,RU,58.3333,68.1333,265.88,93,100,5.43,overcast clouds
137,Esfarayen,IR,37.0765,57.5101,278.81,66,2,0.71,clear sky
138,Madang,PG,-5.2246,145.7966,303.6,60,89,1.21,overcast clouds
139,Zyryanka,RU,65.75,150.85,239.6,95,19,1.77,few clouds
140,Eyl,SO,7.9803,49.8164,297.74,75,71,5.34,broken clouds
141,Hithadhoo,MV,-0.6,73.0833,300.71,75,57,6.63,broken clouds
142,Sur,OM,22.5667,59.5289,298.59,58,0,3.53,clear sky
143,Chavakkad,IN,10.5333,76.05,297.18,90,100,3.05,overcast clouds
144,Alice Springs,AU,-23.7,133.8833,296.9,29,6,5.66,clear sky
145,Tuktoyaktuk,CA,69.4541,-133.0374,263.15,92,100,9.77,light snow
146,Bathsheba,BB,13.2167,-59.5167,300.49,83,20,8.75,few clouds
147,Kirovskiy,RU,45.0917,133.5136,271.33,64,9,1.52,clear sky
148,Isangel,VU,-19.55,169.2667,302.21,74,20,1.54,few clouds
149,Waingapu,ID,-9.6567,120.2641,302.69,69,37,2.66,scattered clouds
150,Vila Velha,BR,-20.3297,-40.2925,298.12,88,75,4.12,broken clouds
151,Peoria,US,40.7667,-89.7668,276.2,60,20,3.09,few clouds
152,Diapaga,BF,12.0708,1.7889,296.3,24,87,2.94,overcast clouds
153,Keti Bandar,PK,24.1447,67.4497,297.97,64,0,4.57,clear sky
154,Ostersund,SE,63.1792,14.6357,274.4,100,15,1.34,few clouds
155,Imbituba,BR,-28.24,-48.6703,294.76,88,100,1.9,overcast clouds
156,Iracoubo,GF,5.4802,-53.2011,299.46,84,10,5.12,clear sky
157,Ust-Omchug,RU,61.15,149.6333,253.07,93,100,1.3,overcast clouds
158,Talnakh,RU,69.4865,88.3972,242.36,89,19,1.88,few clouds
159,Seoul,KR,37.5683,126.9778,282.84,52,28,0.27,scattered clouds
160,Pandamatenga,BW,-18.5278,25.627,292.2,80,51,5.08,broken clouds
161,Bowen,AU,-20.0167,148.2333,300.55,69,100,4.96,overcast clouds
162,Santiago,CL,-33.4569,-70.6483,297.2,36,0,2.06,clear sky
163,Lufilufi,WS,-13.8745,-171.5986,303.03,76,100,10.92,light rain
164,Tilichiki,RU,60.4667,166.1,267.9,96,100,5.08,light snow
165,Touros,BR,-5.1989,-35.4608,299.23,75,46,5.59,scattered clouds
166,Coahuayana,MX,18.7333,-103.6833,297.16,87,54,0.78,broken clouds
167,Cabra,ES,37.4725,-4.4421,286.7,85,100,1.53,overcast clouds
168,Torbay,CA,47.6666,-52.7314,280.24,87,100,11.32,overcast clouds
169,Adrar,MR,20.5022,-10.0711,298.17,23,94,3.28,overcast clouds
170,Penzance,GB,50.1186,-5.5371,286.53,90,100,12.16,moderate rain
171,Emba,KZ,48.8264,58.1442,270.78,88,100,8.14,light snow
172,Urucara,BR,-2.5364,-57.76,302.56,56,99,1.1,overcast clouds
173,Saint George,US,37.1041,-113.5841,282.18,40,0,5.14,clear sky
174,Gorontalo,ID,0.5412,123.0595,303.6,67,100,1.06,overcast clouds
175,Surab,PK,28.4914,66.2585,282.43,39,0,0.7,clear sky
176,Stornoway,GB,58.2093,-6.3865,285.13,90,78,8.75,broken clouds
177,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,297.93,87,9,4.11,clear sky
178,Ballina,AU,-28.8667,153.5667,301.49,46,0,3.79,clear sky
179,Yerbogachen,RU,61.2767,108.0108,243.57,97,6,1.99,clear sky
180,Okha,RU,53.5739,142.9478,270.55,74,44,4.72,scattered clouds
181,Kerman,IR,30.2832,57.0788,286.18,36,32,1.24,scattered clouds
182,Kununurra,AU,-15.7667,128.7333,306.14,55,40,2.06,scattered clouds
183,Prokudskoye,RU,55.0089,82.4574,277.08,93,100,5.0,light intensity shower rain
184,Hurghada,EG,27.2574,33.8129,293.42,67,0,7.53,clear sky
185,Geraldton,AU,-28.7667,114.6,301.38,18,0,9.77,clear sky
186,Neiafu,TO,-18.65,-173.9833,300.53,83,75,3.6,broken clouds
187,Nome,US,64.5011,-165.4064,261.19,73,0,0.0,clear sky
188,Vestmannaeyjar,IS,63.4427,-20.2734,280.97,83,100,4.79,overcast clouds
189,Nacala,MZ,-14.5428,40.6728,296.11,91,56,1.58,broken clouds
190,Upata,VE,8.0086,-62.3989,297.15,92,18,2.15,few clouds
191,Constitucion,CL,-35.3333,-72.4167,287.58,84,0,5.69,clear sky
192,Kamaishi,JP,39.2667,141.8833,284.52,50,6,1.1,clear sky
193,Zandvoort,NL,52.3749,4.5341,281.09,95,100,3.6,mist
194,Tres Arroyos,AR,-38.3739,-60.2798,284.06,89,2,3.36,clear sky
195,Fort Nelson,CA,58.8053,-122.7002,270.34,92,96,1.34,overcast clouds
196,Morris,US,40.8334,-74.5329,275.83,72,20,0.0,few clouds
197,Necochea,AR,-38.5473,-58.7368,287.02,85,0,8.99,clear sky
198,Awbari,LY,26.5921,12.7805,287.32,41,2,2.03,clear sky
199,Merauke,ID,-8.4667,140.3333,303.07,66,92,0.92,overcast clouds
200,Laguna,US,38.421,-121.4238,286.52,56,0,3.6,clear sky
201,Maua,BR,-23.6678,-46.4614,298.35,61,99,2.19,overcast clouds
202,Tautira,PF,-17.7333,-149.15,299.19,79,100,4.07,light rain
203,Ostashkov,RU,57.1467,33.1075,272.89,86,100,2.1,overcast clouds
204,Chapleau,CA,47.8405,-83.4034,266.47,88,100,1.37,overcast clouds
205,Parana,AR,-31.732,-60.5238,294.01,68,0,3.03,clear sky
206,Pontes E Lacerda,BR,-15.2261,-59.3353,295.31,91,100,1.65,overcast clouds
207,Cidreira,BR,-30.1811,-50.2056,292.45,71,0,4.23,clear sky
208,Letka,RU,59.6011,49.4232,265.56,80,100,4.42,overcast clouds
209,Kloulklubed,PW,7.0419,134.2556,298.43,73,100,4.9,overcast clouds
210,Namatanai,PG,-3.6667,152.4333,302.6,65,100,3.62,overcast clouds
211,Kodiak,US,57.79,-152.4072,273.88,86,0,2.06,clear sky
212,Guarapari,BR,-20.6667,-40.4975,298.09,88,100,6.65,light rain
213,Araouane,ML,18.9048,-3.5265,299.52,17,100,4.03,overcast clouds
214,Flinders,AU,-34.5833,150.8552,294.92,71,30,1.34,scattered clouds
215,Nikolskoye,RU,59.7035,30.7861,274.15,97,100,3.06,snow
216,Grand-Santi,GF,4.25,-54.3833,296.67,88,5,1.32,clear sky
217,Sao Joao Da Barra,BR,-21.6403,-41.0511,297.02,91,100,10.57,moderate rain
218,Ambunti,PG,-4.2365,142.8448,300.77,75,100,0.73,moderate rain
219,Foix,FR,42.8333,1.5833,285.42,92,100,2.66,overcast clouds
220,Hyeres,FR,43.1167,6.1167,288.01,83,75,5.14,broken clouds
221,Lompoc,US,34.6391,-120.4579,288.23,79,0,4.12,clear sky
222,Lasa,IT,46.6166,10.7002,274.83,83,12,0.31,few clouds
223,Los Llanos De Aridane,ES,28.6585,-17.9182,295.44,31,0,3.13,clear sky
224,Dalgopol,BG,43.05,27.35,283.66,80,100,1.36,overcast clouds
225,Port-Gentil,GA,-0.7193,8.7815,298.92,85,100,5.15,moderate rain
226,Voh,NC,-20.9667,164.7,302.13,57,0,3.63,clear sky
227,Cherskiy,RU,68.75,161.3,241.98,100,96,2.35,overcast clouds
228,Katherine,AU,-14.4667,132.2667,301.33,69,75,4.63,broken clouds
229,Carutapera,BR,-1.195,-46.02,299.58,77,7,4.25,clear sky
230,Saint-Gaudens,FR,43.0833,0.6667,282.61,81,100,2.52,overcast clouds
231,Luderitz,NA,-26.6481,15.1594,288.04,94,5,3.21,clear sky
232,Ahuimanu,US,21.4447,-157.8378,301.99,63,20,8.23,few clouds
233,Northam,GB,51.0333,-4.2167,285.03,95,100,12.73,moderate rain
